epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,20660.2,1.06314,0.6481,1.09372,0.73578,0.71514,0.74746,0.48076,1.21392,0.71526,1.20514,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,21807,1.06477,0.64715,1.09685,0.73528,0.71912,0.74797,0.48062,1.21382,0.71533,1.20526,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,22951,1.05876,0.64411,1.08915,0.73337,0.71948,0.74847,0.48084,1.21355,0.71497,1.20481,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,24098,1.06027,0.64429,1.10375,0.73058,0.71994,0.74894,0.48081,1.21344,0.71468,1.20479,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,25246.3,1.05885,0.64217,1.09819,0.73193,0.719,0.74863,0.48067,1.21299,0.71401,1.20495,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,26395.8,1.04903,0.63857,1.09334,0.73259,0.7185,0.74883,0.48066,1.21294,0.71383,1.20496,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,27546,1.05397,0.64356,1.09673,0.73388,0.71863,0.74878,0.48058,1.2126,0.71349,1.20511,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1097.72,1.02845,0.6028,1.08157,0.73124,0.72033,0.74905,0.48096,1.21257,0.71299,1.20512,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2210.59,1.04347,0.62101,1.09076,0.73285,0.71909,0.74957,0.48134,1.21255,0.71243,1.20521,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3316.39,1.04447,0.62574,1.08529,0.73496,0.71837,0.74973,0.481,1.21259,0.71209,1.20497,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4417.31,1.04742,0.62752,1.08743,0.73722,0.71589,0.74945,0.48144,1.21255,0.71204,1.20502,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5516.11,1.04862,0.62586,1.08902,0.73698,0.7157,0.74936,0.4817,1.21264,0.71195,1.20486,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,6617.62,1.04697,0.63247,1.09664,0.7335,0.72081,0.75002,0.48176,1.21264,0.7117,1.2052,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,7717.96,1.04321,0.62605,1.08759,0.73049,0.72195,0.74971,0.48249,1.21275,0.71133,1.20553,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8825.04,1.04083,0.62297,1.08758,0.73042,0.72175,0.74947,0.48278,1.21274,0.71154,1.20523,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,9931.59,1.04151,0.62048,1.0906,0.74297,0.713,0.7499,0.48277,1.21276,0.71148,1.20564,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,11037.2,1.03914,0.61925,1.08986,0.73656,0.72032,0.75053,0.48343,1.21277,0.711,1.20591,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,12140.2,1.0348,0.62146,1.08208,0.74052,0.71782,0.75105,0.48394,1.21242,0.71107,1.20576,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,13242.5,1.04005,0.62492,1.08918,0.74393,0.71525,0.7506,0.48333,1.21226,0.7108,1.20589,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,14346.5,1.03683,0.61876,1.08511,0.74431,0.71501,0.75099,0.48389,1.21222,0.71083,1.20589,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,15451.1,1.0338,0.61751,1.07795,0.74439,0.71542,0.75027,0.48317,1.21214,0.71037,1.20569,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,16551.3,1.03413,0.62034,1.08194,0.7462,0.71435,0.75029,0.48326,1.21213,0.70996,1.20562,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
