epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,20679.9,1.21848,0.69331,0.00526,0.78204,0.70866,0.75299,0.48647,1.34828,0.82951,0.00841,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,21662.7,1.21997,0.68963,0.00512,0.77844,0.71079,0.75324,0.48657,1.34759,0.82953,0.00841,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,1053.57,1.16477,0.62116,0.00482,0.77298,0.71374,0.75286,0.48628,1.34741,0.82978,0.00841,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,2057.63,1.18778,0.64455,0.00498,0.77597,0.71216,0.7527,0.48622,1.34775,0.82928,0.00842,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,3059.18,1.19288,0.65458,0.00501,0.76057,0.72348,0.7537,0.48719,1.34762,0.82941,0.00841,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,4064.5,1.19623,0.65492,0.00501,0.78317,0.70918,0.75402,0.48669,1.34784,0.82929,0.00841,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,5071.44,1.20244,0.66341,0.00506,0.77279,0.71524,0.75384,0.48662,1.34771,0.82959,0.00841,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,6077.48,1.19691,0.66648,0.00503,0.7826,0.71062,0.75491,0.48724,1.34741,0.82865,0.00841,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7079.51,1.19914,0.66797,0.00498,0.74477,0.73471,0.75457,0.48709,1.34723,0.8294,0.00841,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,8074.94,1.18673,0.65719,0.00508,0.77729,0.71405,0.75463,0.48653,1.34723,0.82989,0.0084,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,9080.17,1.19326,0.65652,0.00494,0.77735,0.71305,0.75508,0.48754,1.347,0.83023,0.00841,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,10081.5,1.18723,0.65384,0.00499,0.78163,0.71153,0.75445,0.48701,1.34642,0.83134,0.0084,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,11084,1.18811,0.65366,0.00499,0.78365,0.71051,0.75388,0.48697,1.34636,0.83051,0.0084,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,12082.7,1.18481,0.65192,0.00502,0.78289,0.71031,0.75396,0.48685,1.34622,0.83112,0.0084,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,13082.6,1.18703,0.65159,0.005,0.78609,0.70907,0.75401,0.4871,1.34602,0.83057,0.0084,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,14097.7,1.18656,0.65124,0.00494,0.78689,0.7097,0.75546,0.4878,1.34513,0.83184,0.00839,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,15105.4,1.18853,0.65867,0.00493,0.78535,0.70917,0.75504,0.48779,1.34493,0.83255,0.00839,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,16113.5,1.18223,0.65037,0.00493,0.78503,0.70875,0.75359,0.48745,1.34478,0.83176,0.00839,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,17121.5,1.18533,0.64735,0.00491,0.78203,0.70953,0.75247,0.48696,1.34469,0.83172,0.00839,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,18126.4,1.17462,0.64969,0.00489,0.78154,0.71039,0.75238,0.48744,1.34434,0.83133,0.00839,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,19131.8,1.18456,0.65008,0.00487,0.74977,0.72396,0.75183,0.48714,1.34407,0.8304,0.0084,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,1080.54,1.1131,0.57655,0.00454,0.73564,0.7381,0.75308,0.48748,1.34434,0.8316,0.00839,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,2108.03,1.13618,0.59732,0.00468,0.76125,0.71694,0.75342,0.48786,1.3447,0.83196,0.0084,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,3144.86,1.1403,0.60771,0.00471,0.7629,0.71753,0.75176,0.48604,1.3447,0.83352,0.0084,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,4171.75,1.14473,0.61061,0.00472,0.74489,0.7321,0.75281,0.487,1.34487,0.83373,0.0084,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,5197.19,1.1482,0.61212,0.00474,0.74121,0.73536,0.75274,0.48686,1.3446,0.83389,0.0084,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,6234,1.14725,0.61804,0.00475,0.74272,0.73444,0.75262,0.48673,1.34453,0.83391,0.0084,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,7282.86,1.14882,0.62088,0.0047,0.73868,0.73416,0.75215,0.48684,1.34459,0.83442,0.00841,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,8326.01,1.1378,0.6121,0.00479,0.75105,0.72655,0.75276,0.48764,1.34399,0.83558,0.0084,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,9361.92,1.1458,0.60973,0.00466,0.74607,0.73383,0.75218,0.48783,1.34449,0.8348,0.00841,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
